active,passive,verb
Somebody noticed something unusual.,Something unusual was noticed by somebody.,notice
Someone didn't notice anything at all.,Nothing at all was noticed by someone.,notice
Somebody went on a date with someone.,A date was gone on by somebody with someone.,date
Something about the date surprised somebody.,Something about the date was surprising to somebody.,date
Somebody munched on something.,Output: Something was munched on by somebody.,munch
Something munched on someone.,Output: Someone was munched on by something.,munch
Somebody belched loudly.,"Output: Loudly, a belch was made by somebody.",belch
Something made someone belch unexpectedly.,The belch was made unexpectedly by someone.,belch
Somebody repulsed someone.,Output: Someone was repulsed by somebody.,repulse
Something repulsed somebody.,Output: Somebody was repulsed by something.,repulse
Somebody astonished something.,Output: Something was astonished by somebody.,astonish
Something astonished someone.,Output: Someone was astonished by something.,astonish
Somebody smelled something.  ,Something was smelled by somebody.,smell
Something smelled someone.  ,Output: Someone was smelled by something.,smell
Somebody experienced something shocking.,Something shocking was experienced by somebody.,shock
Something shocked someone unexpectedly.,"The sentence in passive voice would be: ""Someone was shocked unexpectedly by something.""",shock
Somebody heard a dog bark somewhere.,A dog was heard barking somewhere by somebody.,bark
Something in the bushes made a barking noise.,The barking noise was made by something in the bushes.,bark
Somebody bled from somewhere.  ,"The sentence ""Somebody bled from somewhere"" can be passivized as: 

""Somewhere was bled from by somebody.""",bleed
Something made someone bleed.  ,"The sentence ""Something made someone bleed"" is a bit more complex because it contains a causative structure. A possible passive form could be:

""Someone was made to bleed by something.""",bleed
Somebody stunned something.,Output: Something was stunned by somebody.,stun
Something stunned someone.,"The sentence in passive voice would be: ""Someone was stunned by something.""",stun
Somebody sensed something unusual.,Something unusual was sensed by somebody.,sense
Something sensed someone approaching.,Someone was sensed approaching by something.,sense
Somebody distracted someone.,The sentence in passive voice would be: Someone was distracted by somebody.,distract
Something distracted somebody.,Output: Somebody was distracted by something.,distract
Somebody reassured someone.,The reassurance was given to someone by somebody.,reassure
Something reassured everybody.,Output: Everybody was reassured by something.,reassure
Somebody strangled something.,Output: Something was strangled by somebody.,strangle
Something strangled someone.,Output: Someone was strangled by something.,strangle
Somebody hurt something.,The something was hurt by somebody.,hurt
Something hurt somebody.,Output: Somebody was hurt by something.,hurt
Somebody gossiped about something.,Output: Something was gossiped about by somebody.,gossip
Something caused someone to gossip.,"Something caused someone to gossip.  
Output: Someone was caused to gossip by something.",gossip
Somebody slid somewhere.,"The sentence ""Somebody slid somewhere"" can be passivized as:

""Somewhere was slid by somebody.""",slide
"Somewhere, something slid by someone.",Something was slid by someone.,slide
Somebody murdered someone.,Output: Someone was murdered by somebody.,murder
Something murdered somebody.,Somebody was murdered by something.,murder
Somebody cast a shadow somewhere.,The shadow was cast by somebody.,shadow
Something followed someone like a shadow.,Output: Someone was followed by something like a shadow.,shadow
Somebody annoyed somebody else.,The other person was annoyed by somebody.,annoy
Something annoyed someone.,Something was annoyed by someone.,annoy
Someone solved something that was truly puzzling.,The truly puzzling thing was solved by someone.,puzzle
"Somewhere, a puzzle is waiting for somebody to complete it.",A puzzle is waiting to be completed by somebody somewhere.,puzzle
Somebody wagged their tail.,The tail was wagged by somebody.,tail
Something chased someone with a tail.,The tail was used to chase someone by something.,tail
Somebody killed something.,The something was killed by somebody.,kill
Something killed someone.,"The sentence ""Something killed someone"" can be passivized as:

""Someone was killed by something.""",kill
Somebody chased something.,Something was chased by somebody.,chase
Someone chased somebody.,Output: Somebody was chased by someone.,chase
Somebody dazzled someone with a brilliant performance.,The brilliant performance was dazzled by somebody.,dazzle
Something in the night sky dazzled everybody who was watching.,"The sentence can be passivized as follows:

Output: Everybody who was watching was dazzled by something in the night sky.",dazzle
Somebody entertained somebody.,"The sentence ""Somebody entertained somebody"" can be passivized as follows:

Output: Somebody was entertained by somebody.",entertain
Something entertained someone.,Output: Someone was entertained by something.,entertain
Somebody told something.,Output: Something was told by somebody.,tell
Something told someone.,Output: Someone was told by something.,tell
Somebody enraged someone.,The someone was enraged by somebody.,enrage
Something enraged somebody.,Something was enraged by somebody.,enrage
Somebody fed something.,Output: Something was fed by somebody.,feed
"Somewhere, someone is feeding something.",Something is being fed by someone.,feed
Somebody irritates somebody else.,Output: Somebody else is irritated by somebody.,irritate
