Verb,Vno,Set,VtypeNEW,passive,active,active_score,passive_score,pass_drop
"read (i.e., to say, as in a sign)",V438,2a,(e) Non-Passivizable,"""No entry"" was read by the notice.","The notice read ""No entry"".",-36.015769958496094,-46.13935470581055,10.123584747314453
"read (i.e., to say, as in a sign)",V438,2b,(e) Non-Passivizable,"""No entry"" was read by the notice.","The notice read ""No entry"".",-36.015769958496094,-46.13935470581055,10.123584747314453
"read (i.e., to say, as in a sign)",V438,1a,(e) Non-Passivizable,"""Stop"" was read by the sign.","The sign read ""stop"".",-35.737091064453125,-47.08850860595703,11.351417541503906
"read (i.e., to say, as in a sign)",V438,1b,(e) Non-Passivizable,"""Stop"" was read by the sign.","The sign read ""stop"".",-35.737091064453125,-47.08850860595703,11.351417541503906
last,V443,2a,(e) Non-Passivizable,10 minutes was lasted by the fight.,The fight lasted 10 minutes.,-20.181726455688477,-39.6591682434082,19.477441787719727
last,V443,2b,(e) Non-Passivizable,10 minutes was lasted by the fight.,The fight lasted 10 minutes.,-20.181726455688477,-39.6591682434082,19.477441787719727
"hold (i.e., accomdate a certain number of people)",V448,2a,(e) Non-Passivizable,100 people were held by the cinema.,The cinema held 100 people.,-33.888458251953125,-35.854896545410156,1.9664382934570312
"hold (i.e., accomdate a certain number of people)",V448,2b,(e) Non-Passivizable,100 people were held by the cinema.,The cinema held 100 people.,-33.888458251953125,-35.854896545410156,1.9664382934570312
use,V454,1a,(e) Non-Passivizable,100 watts were used by the bulb.,The bulb used 100 watts.,-34.67238235473633,-39.43539047241211,4.763008117675781
use,V454,1b,(e) Non-Passivizable,100 watts were used by the bulb.,The bulb used 100 watts.,-34.67238235473633,-39.43539047241211,4.763008117675781
measure,V437,2a,(e) Non-Passivizable,10cm was measured by the book.,The book measured 10cm.,-37.29812240600586,-43.18959045410156,5.891468048095703
measure,V437,2b,(e) Non-Passivizable,10cm was measured by the book.,The book measured 10cm.,-37.29812240600586,-43.18959045410156,5.891468048095703
"store (i.e., contain enough room to hold)",V453,1a,(e) Non-Passivizable,20 litres were stored by the tank.,The tank stored 20 litres.,-37.247474670410156,-42.45197677612305,5.204502105712891
"store (i.e., contain enough room to hold)",V453,1b,(e) Non-Passivizable,20 litres were stored by the tank.,The tank stored 20 litres.,-37.247474670410156,-42.45197677612305,5.204502105712891
seat,V450,1a,(e) Non-Passivizable,200 people were seated by the theatre.,The theatre seated 200 people.,-37.94843292236328,-41.223026275634766,3.2745933532714844
seat,V450,1b,(e) Non-Passivizable,200 people were seated by the theatre.,The theatre seated 200 people.,-37.94843292236328,-41.223026275634766,3.2745933532714844
"store (i.e., contain enough room to hold)",V453,2a,(e) Non-Passivizable,30 books were stored by the shelf.,The shelf stored 30 books.,-43.84342575073242,-39.24946594238281,-4.593959808349609
"store (i.e., contain enough room to hold)",V453,2b,(e) Non-Passivizable,30 books were stored by the shelf.,The shelf stored 30 books.,-43.84342575073242,-39.24946594238281,-4.593959808349609
"carry (i.e., hold a certain number of people)",V445,1a,(e) Non-Passivizable,500 tonnes was carried by the bridge.,The bridge carried 500 tonnes.,-38.90065002441406,-34.222900390625,-4.6777496337890625
"carry (i.e., hold a certain number of people)",V445,1b,(e) Non-Passivizable,500 tonnes was carried by the bridge.,The bridge carried 500 tonnes.,-38.90065002441406,-34.222900390625,-4.6777496337890625
seat,V450,2a,(e) Non-Passivizable,60 people were seated by the bus.,The bus seated 60 people.,-37.01553726196289,-34.3204460144043,-2.6950912475585938
seat,V450,2b,(e) Non-Passivizable,60 people were seated by the bus.,The bus seated 60 people.,-37.01553726196289,-34.3204460144043,-2.6950912475585938
weigh,V441,2a,(e) Non-Passivizable,7 pounds was weighed by the baby.,The baby weighed 7 pounds.,-28.024133682250977,-36.84109878540039,8.816965103149414
weigh,V441,2b,(e) Non-Passivizable,7 pounds was weighed by the baby.,The baby weighed 7 pounds.,-28.024133682250977,-36.84109878540039,8.816965103149414
register,V439,1a,(e) Non-Passivizable,80Kg was registered by the scales.,The scales registered 80kg.,-40.98973083496094,-50.48884582519531,9.499114990234375
register,V439,1b,(e) Non-Passivizable,80Kg was registered by the scales.,The scales registered 80kg.,-40.98973083496094,-50.48884582519531,9.499114990234375
be,V459,2a,(e) Non-Passivizable,A father was been by Bob.,Bob was a father.,-15.90019702911377,-47.54363250732422,31.64343547821045
be,V459,2b,(e) Non-Passivizable,A father was been by Bob.,Bob was a father.,-15.90019702911377,-47.54363250732422,31.64343547821045
be,V459,1a,(e) Non-Passivizable,A father was been by Homer.,Homer was a father.,-27.51750946044922,-52.18794250488281,24.670433044433594
lack,V456,2a,(e) Non-Passivizable,A garden was lacked by the cottate.,The cottage lacked a garden.,-35.32632064819336,-57.02980422973633,21.70348358154297
lack,V456,2b,(e) Non-Passivizable,A garden was lacked by the cottate.,The cottage lacked a garden.,-35.32632064819336,-57.02980422973633,21.70348358154297
"carry (i.e., hold a certain number of people)",V445,2a,(e) Non-Passivizable,A heavy fine was carried by the crime.,The crime carried a heavy fine.,-38.01472473144531,-46.87555694580078,8.860832214355469
