Verb,Vno,Set,VtypeNEW,passive,active,active_score,passive_score,pass_drop
"read (i.e., to say, as in a sign)",V438,2a,(e) Non-Passivizable,"""No entry"" was read by the notice","The notice read ""No entry""",-32.04501724243164,-41.24968719482422,9.204669952392578
"read (i.e., to say, as in a sign)",V438,2b,(e) Non-Passivizable,"""No entry"" was read by the notice","The notice read ""No entry""",-32.04501724243164,-41.24968719482422,9.204669952392578
"read (i.e., to say, as in a sign)",V438,1a,(e) Non-Passivizable,"""Stop"" was read by the sign","The sign read ""stop""",-30.50629234313965,-37.146602630615234,6.640310287475586
"read (i.e., to say, as in a sign)",V438,1b,(e) Non-Passivizable,"""Stop"" was read by the sign","The sign read ""stop""",-30.50629234313965,-37.146602630615234,6.640310287475586
last,V443,2a,(e) Non-Passivizable,10 minutes was lasted by the fight,The fight lasted 10 minutes,-19.101913452148438,-38.539581298828125,19.437667846679688
last,V443,2b,(e) Non-Passivizable,10 minutes was lasted by the fight,The fight lasted 10 minutes,-19.101913452148438,-38.539581298828125,19.437667846679688
"hold (i.e., accomdate a certain number of people)",V448,2a,(e) Non-Passivizable,100 people were held by the cinema,The cinema held 100 people,-31.593603134155273,-33.066322326660156,1.4727191925048828
"hold (i.e., accomdate a certain number of people)",V448,2b,(e) Non-Passivizable,100 people were held by the cinema,The cinema held 100 people,-31.593603134155273,-33.066322326660156,1.4727191925048828
use,V454,1a,(e) Non-Passivizable,100 watts were used by the bulb,The bulb used 100 watts,-31.28668212890625,-38.350547790527344,7.063865661621094
use,V454,1b,(e) Non-Passivizable,100 watts were used by the bulb,The bulb used 100 watts,-31.28668212890625,-38.350547790527344,7.063865661621094
measure,V437,2a,(e) Non-Passivizable,10cm was measured by the book,The book measured 10cm,-34.4478759765625,-43.00983428955078,8.561958312988281
measure,V437,2b,(e) Non-Passivizable,10cm was measured by the book,The book measured 10cm,-34.4478759765625,-43.00983428955078,8.561958312988281
"store (i.e., contain enough room to hold)",V453,1a,(e) Non-Passivizable,20 litres were stored by the tank,The tank stored 20 litres,-30.80335807800293,-41.32179260253906,10.518434524536133
"store (i.e., contain enough room to hold)",V453,1b,(e) Non-Passivizable,20 litres were stored by the tank,The tank stored 20 litres,-30.80335807800293,-41.32179260253906,10.518434524536133
seat,V450,1a,(e) Non-Passivizable,200 people were seated by the theatre,The theatre seated 200 people,-32.387657165527344,-37.048126220703125,4.660469055175781
seat,V450,1b,(e) Non-Passivizable,200 people were seated by the theatre,The theatre seated 200 people,-32.387657165527344,-37.048126220703125,4.660469055175781
"store (i.e., contain enough room to hold)",V453,2a,(e) Non-Passivizable,30 books were stored by the shelf,The shelf stored 30 books,-41.11670684814453,-33.49200439453125,-7.624702453613281
"store (i.e., contain enough room to hold)",V453,2b,(e) Non-Passivizable,30 books were stored by the shelf,The shelf stored 30 books,-41.11670684814453,-33.49200439453125,-7.624702453613281
"carry (i.e., hold a certain number of people)",V445,1a,(e) Non-Passivizable,500 tonnes was carried by the bridge,The bridge carried 500 tonnes,-27.137828826904297,-32.641746520996094,5.503917694091797
"carry (i.e., hold a certain number of people)",V445,1b,(e) Non-Passivizable,500 tonnes was carried by the bridge,The bridge carried 500 tonnes,-27.137828826904297,-32.641746520996094,5.503917694091797
seat,V450,2a,(e) Non-Passivizable,60 people were seated by the bus,The bus seated 60 people,-29.13129997253418,-34.49816131591797,5.366861343383789
seat,V450,2b,(e) Non-Passivizable,60 people were seated by the bus,The bus seated 60 people,-29.13129997253418,-34.49816131591797,5.366861343383789
weigh,V441,2a,(e) Non-Passivizable,7 pounds was weighed by the baby,The baby weighed 7 pounds,-26.75177764892578,-36.99836349487305,10.246585845947266
weigh,V441,2b,(e) Non-Passivizable,7 pounds was weighed by the baby,The baby weighed 7 pounds,-26.75177764892578,-36.99836349487305,10.246585845947266
