Verb,Vno,Set,VtypeNEW,passive,active,active_score,passive_score,pass_drop
"read (i.e., to say, as in a sign)",V438,2a,(e) Non-Passivizable,"""No entry"" was read by the notice","The notice read ""No entry""",-31.01654052734375,-45.80398941040039,14.78744888305664
"read (i.e., to say, as in a sign)",V438,2b,(e) Non-Passivizable,"""No entry"" was read by the notice","The notice read ""No entry""",-31.01654052734375,-45.80398941040039,14.78744888305664
"read (i.e., to say, as in a sign)",V438,1a,(e) Non-Passivizable,"""Stop"" was read by the sign","The sign read ""stop""",-34.09770202636719,-38.578243255615234,4.480541229248047
"read (i.e., to say, as in a sign)",V438,1b,(e) Non-Passivizable,"""Stop"" was read by the sign","The sign read ""stop""",-34.09770202636719,-38.578243255615234,4.480541229248047
last,V443,2a,(e) Non-Passivizable,10 minutes was lasted by the fight,The fight lasted 10 minutes,-19.55257797241211,-36.10163116455078,16.549053192138672
last,V443,2b,(e) Non-Passivizable,10 minutes was lasted by the fight,The fight lasted 10 minutes,-19.55257797241211,-36.10163116455078,16.549053192138672
"hold (i.e., accomdate a certain number of people)",V448,2a,(e) Non-Passivizable,100 people were held by the cinema,The cinema held 100 people,-37.05351257324219,-32.187721252441406,-4.865791320800781
"hold (i.e., accomdate a certain number of people)",V448,2b,(e) Non-Passivizable,100 people were held by the cinema,The cinema held 100 people,-37.05351257324219,-32.187721252441406,-4.865791320800781
use,V454,1a,(e) Non-Passivizable,100 watts were used by the bulb,The bulb used 100 watts,-35.4254035949707,-38.75900650024414,3.3336029052734375
use,V454,1b,(e) Non-Passivizable,100 watts were used by the bulb,The bulb used 100 watts,-35.4254035949707,-38.75900650024414,3.3336029052734375
measure,V437,2a,(e) Non-Passivizable,10cm was measured by the book,The book measured 10cm,-32.471229553222656,-37.053314208984375,4.582084655761719
measure,V437,2b,(e) Non-Passivizable,10cm was measured by the book,The book measured 10cm,-32.471229553222656,-37.053314208984375,4.582084655761719
"store (i.e., contain enough room to hold)",V453,1a,(e) Non-Passivizable,20 litres were stored by the tank,The tank stored 20 litres,-34.144737243652344,-40.85829544067383,6.713558197021484
"store (i.e., contain enough room to hold)",V453,1b,(e) Non-Passivizable,20 litres were stored by the tank,The tank stored 20 litres,-34.144737243652344,-40.85829544067383,6.713558197021484
seat,V450,1a,(e) Non-Passivizable,200 people were seated by the theatre,The theatre seated 200 people,-37.65272903442383,-34.80458068847656,-2.8481483459472656
seat,V450,1b,(e) Non-Passivizable,200 people were seated by the theatre,The theatre seated 200 people,-37.65272903442383,-34.80458068847656,-2.8481483459472656
"store (i.e., contain enough room to hold)",V453,2a,(e) Non-Passivizable,30 books were stored by the shelf,The shelf stored 30 books,-37.578697204589844,-37.89476013183594,0.31606292724609375
"store (i.e., contain enough room to hold)",V453,2b,(e) Non-Passivizable,30 books were stored by the shelf,The shelf stored 30 books,-37.578697204589844,-37.89476013183594,0.31606292724609375
