Verb,Vno,Set,VtypeNEW,passive,active,active_score,passive_score,pass_drop
"read (i.e., to say, as in a sign)",V438,2a,(e) Non-Passivizable,"""No entry"" was read by the notice.","The notice read ""No entry"".",-36.27306365966797,-50.42303466796875,14.149971008300781
"read (i.e., to say, as in a sign)",V438,2b,(e) Non-Passivizable,"""No entry"" was read by the notice.","The notice read ""No entry"".",-36.27306365966797,-50.42303466796875,14.149971008300781
"read (i.e., to say, as in a sign)",V438,1a,(e) Non-Passivizable,"""Stop"" was read by the sign.","The sign read ""stop"".",-34.27283477783203,-43.383785247802734,9.110950469970703
"read (i.e., to say, as in a sign)",V438,1b,(e) Non-Passivizable,"""Stop"" was read by the sign.","The sign read ""stop"".",-34.27283477783203,-43.383785247802734,9.110950469970703
last,V443,2a,(e) Non-Passivizable,10 minutes was lasted by the fight.,The fight lasted 10 minutes.,-22.969316482543945,-40.45060348510742,17.481287002563477
last,V443,2b,(e) Non-Passivizable,10 minutes was lasted by the fight.,The fight lasted 10 minutes.,-22.969316482543945,-40.45060348510742,17.481287002563477
"hold (i.e., accomdate a certain number of people)",V448,2a,(e) Non-Passivizable,100 people were held by the cinema.,The cinema held 100 people.,-36.087093353271484,-35.59553146362305,-0.4915618896484375
"hold (i.e., accomdate a certain number of people)",V448,2b,(e) Non-Passivizable,100 people were held by the cinema.,The cinema held 100 people.,-36.087093353271484,-35.59553146362305,-0.4915618896484375
use,V454,1a,(e) Non-Passivizable,100 watts were used by the bulb.,The bulb used 100 watts.,-32.667442321777344,-39.77024459838867,7.102802276611328
use,V454,1b,(e) Non-Passivizable,100 watts were used by the bulb.,The bulb used 100 watts.,-32.667442321777344,-39.77024459838867,7.102802276611328
measure,V437,2a,(e) Non-Passivizable,10cm was measured by the book.,The book measured 10cm.,-38.981788635253906,-43.76966094970703,4.787872314453125
measure,V437,2b,(e) Non-Passivizable,10cm was measured by the book.,The book measured 10cm.,-38.981788635253906,-43.76966094970703,4.787872314453125
"store (i.e., contain enough room to hold)",V453,1a,(e) Non-Passivizable,20 litres were stored by the tank.,The tank stored 20 litres.,-34.26058578491211,-37.737430572509766,3.4768447875976562
"store (i.e., contain enough room to hold)",V453,1b,(e) Non-Passivizable,20 litres were stored by the tank.,The tank stored 20 litres.,-34.26058578491211,-37.737430572509766,3.4768447875976562
seat,V450,1a,(e) Non-Passivizable,200 people were seated by the theatre.,The theatre seated 200 people.,-37.103965759277344,-36.22747802734375,-0.8764877319335938
seat,V450,1b,(e) Non-Passivizable,200 people were seated by the theatre.,The theatre seated 200 people.,-37.103965759277344,-36.22747802734375,-0.8764877319335938
"store (i.e., contain enough room to hold)",V453,2a,(e) Non-Passivizable,30 books were stored by the shelf.,The shelf stored 30 books.,-45.33221435546875,-39.909969329833984,-5.422245025634766
"store (i.e., contain enough room to hold)",V453,2b,(e) Non-Passivizable,30 books were stored by the shelf.,The shelf stored 30 books.,-45.33221435546875,-39.909969329833984,-5.422245025634766
"carry (i.e., hold a certain number of people)",V445,1a,(e) Non-Passivizable,500 tonnes was carried by the bridge.,The bridge carried 500 tonnes.,-39.307315826416016,-37.67548370361328,-1.6318321228027344
"carry (i.e., hold a certain number of people)",V445,1b,(e) Non-Passivizable,500 tonnes was carried by the bridge.,The bridge carried 500 tonnes.,-39.307315826416016,-37.67548370361328,-1.6318321228027344
seat,V450,2a,(e) Non-Passivizable,60 people were seated by the bus.,The bus seated 60 people.,-36.56125259399414,-32.87422180175781,-3.687030792236328
seat,V450,2b,(e) Non-Passivizable,60 people were seated by the bus.,The bus seated 60 people.,-36.56125259399414,-32.87422180175781,-3.687030792236328
weigh,V441,2a,(e) Non-Passivizable,7 pounds was weighed by the baby.,The baby weighed 7 pounds.,-26.339731216430664,-40.88633728027344,14.546606063842773
weigh,V441,2b,(e) Non-Passivizable,7 pounds was weighed by the baby.,The baby weighed 7 pounds.,-26.339731216430664,-40.88633728027344,14.546606063842773
register,V439,1a,(e) Non-Passivizable,80Kg was registered by the scales.,The scales registered 80kg.,-41.86772155761719,-55.00775146484375,13.140029907226562
register,V439,1b,(e) Non-Passivizable,80Kg was registered by the scales.,The scales registered 80kg.,-41.86772155761719,-55.00775146484375,13.140029907226562
be,V459,2a,(e) Non-Passivizable,A father was been by Bob.,Bob was a father.,-15.583608627319336,-49.43023681640625,33.846628189086914
