Verb,Vno,Set,VtypeNEW,passive,active,active_score,passive_score,pass_drop
"read (i.e., to say, as in a sign)",V438,2a,(e) Non-Passivizable,"""No entry"" was read by the notice.","The notice read ""No entry"".",-37.5674934387207,-45.845787048339844,8.27829360961914
"read (i.e., to say, as in a sign)",V438,2b,(e) Non-Passivizable,"""No entry"" was read by the notice.","The notice read ""No entry"".",-37.5674934387207,-45.845787048339844,8.27829360961914
"read (i.e., to say, as in a sign)",V438,1a,(e) Non-Passivizable,"""Stop"" was read by the sign.","The sign read ""stop"".",-30.788015365600586,-44.42058563232422,13.632570266723633
"read (i.e., to say, as in a sign)",V438,1b,(e) Non-Passivizable,"""Stop"" was read by the sign.","The sign read ""stop"".",-30.788015365600586,-44.42058563232422,13.632570266723633
last,V443,2a,(e) Non-Passivizable,10 minutes was lasted by the fight.,The fight lasted 10 minutes.,-22.203407287597656,-39.90666580200195,17.703258514404297
last,V443,2b,(e) Non-Passivizable,10 minutes was lasted by the fight.,The fight lasted 10 minutes.,-22.203407287597656,-39.90666580200195,17.703258514404297
"hold (i.e., accomdate a certain number of people)",V448,2a,(e) Non-Passivizable,100 people were held by the cinema.,The cinema held 100 people.,-32.86586380004883,-33.296661376953125,0.4307975769042969
"hold (i.e., accomdate a certain number of people)",V448,2b,(e) Non-Passivizable,100 people were held by the cinema.,The cinema held 100 people.,-32.86586380004883,-33.296661376953125,0.4307975769042969
use,V454,1a,(e) Non-Passivizable,100 watts were used by the bulb.,The bulb used 100 watts.,-35.641998291015625,-40.487709045410156,4.845710754394531
use,V454,1b,(e) Non-Passivizable,100 watts were used by the bulb.,The bulb used 100 watts.,-35.641998291015625,-40.487709045410156,4.845710754394531
measure,V437,2a,(e) Non-Passivizable,10cm was measured by the book.,The book measured 10cm.,-37.63127517700195,-42.59313201904297,4.961856842041016
measure,V437,2b,(e) Non-Passivizable,10cm was measured by the book.,The book measured 10cm.,-37.63127517700195,-42.59313201904297,4.961856842041016
"store (i.e., contain enough room to hold)",V453,1a,(e) Non-Passivizable,20 litres were stored by the tank.,The tank stored 20 litres.,-39.05194854736328,-39.89316940307617,0.8412208557128906
"store (i.e., contain enough room to hold)",V453,1b,(e) Non-Passivizable,20 litres were stored by the tank.,The tank stored 20 litres.,-39.05194854736328,-39.89316940307617,0.8412208557128906
seat,V450,1a,(e) Non-Passivizable,200 people were seated by the theatre.,The theatre seated 200 people.,-36.110626220703125,-34.237709045410156,-1.8729171752929688
seat,V450,1b,(e) Non-Passivizable,200 people were seated by the theatre.,The theatre seated 200 people.,-36.110626220703125,-34.237709045410156,-1.8729171752929688
"store (i.e., contain enough room to hold)",V453,2a,(e) Non-Passivizable,30 books were stored by the shelf.,The shelf stored 30 books.,-37.873207092285156,-41.129737854003906,3.25653076171875
"store (i.e., contain enough room to hold)",V453,2b,(e) Non-Passivizable,30 books were stored by the shelf.,The shelf stored 30 books.,-37.873207092285156,-41.129737854003906,3.25653076171875
"carry (i.e., hold a certain number of people)",V445,1a,(e) Non-Passivizable,500 tonnes was carried by the bridge.,The bridge carried 500 tonnes.,-39.39887619018555,-34.35911560058594,-5.039760589599609
