Verb,Vno,Set,VtypeNEW,passive,active,active_score,passive_score,pass_drop
"read (i.e., to say, as in a sign)",V438,2a,(e) Non-Passivizable,"""No entry"" was read by the notice","The notice read ""No entry""",-34.17726135253906,-44.71963882446289,10.542377471923828
"read (i.e., to say, as in a sign)",V438,2b,(e) Non-Passivizable,"""No entry"" was read by the notice","The notice read ""No entry""",-34.17726135253906,-44.71963882446289,10.542377471923828
"read (i.e., to say, as in a sign)",V438,1a,(e) Non-Passivizable,"""Stop"" was read by the sign","The sign read ""stop""",-28.843624114990234,-40.50968551635742,11.666061401367188
"read (i.e., to say, as in a sign)",V438,1b,(e) Non-Passivizable,"""Stop"" was read by the sign","The sign read ""stop""",-28.843624114990234,-40.50968551635742,11.666061401367188
last,V443,2a,(e) Non-Passivizable,10 minutes was lasted by the fight,The fight lasted 10 minutes,-20.81435775756836,-44.90692901611328,24.092571258544922
last,V443,2b,(e) Non-Passivizable,10 minutes was lasted by the fight,The fight lasted 10 minutes,-20.81435775756836,-44.90692901611328,24.092571258544922
"hold (i.e., accomdate a certain number of people)",V448,2a,(e) Non-Passivizable,100 people were held by the cinema,The cinema held 100 people,-32.67082214355469,-28.916217803955078,-3.7546043395996094
"hold (i.e., accomdate a certain number of people)",V448,2b,(e) Non-Passivizable,100 people were held by the cinema,The cinema held 100 people,-32.67082214355469,-28.916217803955078,-3.7546043395996094
use,V454,1a,(e) Non-Passivizable,100 watts were used by the bulb,The bulb used 100 watts,-35.135009765625,-40.495758056640625,5.360748291015625
use,V454,1b,(e) Non-Passivizable,100 watts were used by the bulb,The bulb used 100 watts,-35.135009765625,-40.495758056640625,5.360748291015625
measure,V437,2a,(e) Non-Passivizable,10cm was measured by the book,The book measured 10cm,-30.212444305419922,-42.05475616455078,11.84231185913086
measure,V437,2b,(e) Non-Passivizable,10cm was measured by the book,The book measured 10cm,-30.212444305419922,-42.05475616455078,11.84231185913086
"store (i.e., contain enough room to hold)",V453,1a,(e) Non-Passivizable,20 litres were stored by the tank,The tank stored 20 litres,-31.72549819946289,-42.176170349121094,10.450672149658203
"store (i.e., contain enough room to hold)",V453,1b,(e) Non-Passivizable,20 litres were stored by the tank,The tank stored 20 litres,-31.72549819946289,-42.176170349121094,10.450672149658203
seat,V450,1a,(e) Non-Passivizable,200 people were seated by the theatre,The theatre seated 200 people,-35.3778076171875,-35.671630859375,0.2938232421875
seat,V450,1b,(e) Non-Passivizable,200 people were seated by the theatre,The theatre seated 200 people,-35.3778076171875,-35.671630859375,0.2938232421875
"store (i.e., contain enough room to hold)",V453,2a,(e) Non-Passivizable,30 books were stored by the shelf,The shelf stored 30 books,-40.800994873046875,-35.79207229614258,-5.008922576904297
"store (i.e., contain enough room to hold)",V453,2b,(e) Non-Passivizable,30 books were stored by the shelf,The shelf stored 30 books,-40.800994873046875,-35.79207229614258,-5.008922576904297
"carry (i.e., hold a certain number of people)",V445,1a,(e) Non-Passivizable,500 tonnes was carried by the bridge,The bridge carried 500 tonnes,-30.86834144592285,-30.860097885131836,-0.008243560791015625
"carry (i.e., hold a certain number of people)",V445,1b,(e) Non-Passivizable,500 tonnes was carried by the bridge,The bridge carried 500 tonnes,-30.86834144592285,-30.860097885131836,-0.008243560791015625
seat,V450,2a,(e) Non-Passivizable,60 people were seated by the bus,The bus seated 60 people,-34.193626403808594,-35.92469787597656,1.7310714721679688
seat,V450,2b,(e) Non-Passivizable,60 people were seated by the bus,The bus seated 60 people,-34.193626403808594,-35.92469787597656,1.7310714721679688
weigh,V441,2a,(e) Non-Passivizable,7 pounds was weighed by the baby,The baby weighed 7 pounds,-26.813405990600586,-42.54580307006836,15.732397079467773
weigh,V441,2b,(e) Non-Passivizable,7 pounds was weighed by the baby,The baby weighed 7 pounds,-26.813405990600586,-42.54580307006836,15.732397079467773
register,V439,1a,(e) Non-Passivizable,80Kg was registered by the scales,The scales registered 80kg,-40.751365661621094,-49.25767517089844,8.506309509277344
register,V439,1b,(e) Non-Passivizable,80Kg was registered by the scales,The scales registered 80kg,-40.751365661621094,-49.25767517089844,8.506309509277344
be,V459,2a,(e) Non-Passivizable,A father was been by Bob,Bob was a father,-20.508670806884766,-38.91163635253906,18.402965545654297
be,V459,2b,(e) Non-Passivizable,A father was been by Bob,Bob was a father,-20.508670806884766,-38.91163635253906,18.402965545654297
be,V459,1a,(e) Non-Passivizable,A father was been by Homer,Homer was a father,-29.754249572753906,-42.23999786376953,12.485748291015625
lack,V456,2a,(e) Non-Passivizable,A garden was lacked by the cottate,The cottage lacked a garden,-37.533687591552734,-54.619712829589844,17.08602523803711
lack,V456,2b,(e) Non-Passivizable,A garden was lacked by the cottate,The cottage lacked a garden,-37.533687591552734,-54.619712829589844,17.08602523803711
"carry (i.e., hold a certain number of people)",V445,2a,(e) Non-Passivizable,A heavy fine was carried by the crime,The crime carried a heavy fine,-29.86328125,-40.52638244628906,10.663101196289062
"carry (i.e., hold a certain number of people)",V445,2b,(e) Non-Passivizable,A heavy fine was carried by the crime,The crime carried a heavy fine,-29.86328125,-40.52638244628906,10.663101196289062
be,V459,1b,(e) Non-Passivizable,A mother was been by Marge,Marge was a mother,-29.54766273498535,-42.67050552368164,13.122842788696289
weigh,V441,1a,(e) Non-Passivizable,A tonne was weighed by the horse,The horse weighed a tonne,-29.40444564819336,-45.54009246826172,16.13564682006836
weigh,V441,1b,(e) Non-Passivizable,A tonne was weighed by the horse,The horse weighed a tonne,-29.40444564819336,-45.54009246826172,16.13564682006836
"take (i.e., carry on for a certiain length of time)",V444,1a,(e) Non-Passivizable,An afternoon was taken by the lesson,The lesson took an afternoon,-27.91489028930664,-34.10976791381836,6.194877624511719
