Verb,Vno,Set,VtypeNEW,passive,active,active_score,passive_score,pass_drop
"read (i.e., to say, as in a sign)",V438,2a,(e) Non-Passivizable,"""No entry"" was read by the notice.","The notice read ""No entry"".",-38.362098693847656,-44.35474395751953,5.992645263671875
"read (i.e., to say, as in a sign)",V438,2b,(e) Non-Passivizable,"""No entry"" was read by the notice.","The notice read ""No entry"".",-38.362098693847656,-44.35474395751953,5.992645263671875
"read (i.e., to say, as in a sign)",V438,1a,(e) Non-Passivizable,"""Stop"" was read by the sign.","The sign read ""stop"".",-30.481441497802734,-43.32228469848633,12.840843200683594
"read (i.e., to say, as in a sign)",V438,1b,(e) Non-Passivizable,"""Stop"" was read by the sign.","The sign read ""stop"".",-30.481441497802734,-43.32228469848633,12.840843200683594
last,V443,2a,(e) Non-Passivizable,10 minutes was lasted by the fight.,The fight lasted 10 minutes.,-23.18181610107422,-42.015655517578125,18.833839416503906
last,V443,2b,(e) Non-Passivizable,10 minutes was lasted by the fight.,The fight lasted 10 minutes.,-23.18181610107422,-42.015655517578125,18.833839416503906
"hold (i.e., accomdate a certain number of people)",V448,2a,(e) Non-Passivizable,100 people were held by the cinema.,The cinema held 100 people.,-34.91944885253906,-36.454872131347656,1.5354232788085938
"hold (i.e., accomdate a certain number of people)",V448,2b,(e) Non-Passivizable,100 people were held by the cinema.,The cinema held 100 people.,-34.91944885253906,-36.454872131347656,1.5354232788085938
use,V454,1a,(e) Non-Passivizable,100 watts were used by the bulb.,The bulb used 100 watts.,-34.20188522338867,-42.14088439941406,7.938999176025391
use,V454,1b,(e) Non-Passivizable,100 watts were used by the bulb.,The bulb used 100 watts.,-34.20188522338867,-42.14088439941406,7.938999176025391
measure,V437,2a,(e) Non-Passivizable,10cm was measured by the book.,The book measured 10cm.,-42.245182037353516,-45.36143493652344,3.116252899169922
measure,V437,2b,(e) Non-Passivizable,10cm was measured by the book.,The book measured 10cm.,-42.245182037353516,-45.36143493652344,3.116252899169922
"store (i.e., contain enough room to hold)",V453,1a,(e) Non-Passivizable,20 litres were stored by the tank.,The tank stored 20 litres.,-36.838897705078125,-38.98035430908203,2.1414566040039062
"store (i.e., contain enough room to hold)",V453,1b,(e) Non-Passivizable,20 litres were stored by the tank.,The tank stored 20 litres.,-36.838897705078125,-38.98035430908203,2.1414566040039062
seat,V450,1a,(e) Non-Passivizable,200 people were seated by the theatre.,The theatre seated 200 people.,-40.438819885253906,-35.68660354614258,-4.752216339111328
seat,V450,1b,(e) Non-Passivizable,200 people were seated by the theatre.,The theatre seated 200 people.,-40.438819885253906,-35.68660354614258,-4.752216339111328
"store (i.e., contain enough room to hold)",V453,2a,(e) Non-Passivizable,30 books were stored by the shelf.,The shelf stored 30 books.,-40.98004150390625,-42.413665771484375,1.433624267578125
"store (i.e., contain enough room to hold)",V453,2b,(e) Non-Passivizable,30 books were stored by the shelf.,The shelf stored 30 books.,-40.98004150390625,-42.413665771484375,1.433624267578125
"carry (i.e., hold a certain number of people)",V445,1a,(e) Non-Passivizable,500 tonnes was carried by the bridge.,The bridge carried 500 tonnes.,-34.828887939453125,-35.78862380981445,0.9597358703613281
"carry (i.e., hold a certain number of people)",V445,1b,(e) Non-Passivizable,500 tonnes was carried by the bridge.,The bridge carried 500 tonnes.,-34.828887939453125,-35.78862380981445,0.9597358703613281
seat,V450,2a,(e) Non-Passivizable,60 people were seated by the bus.,The bus seated 60 people.,-37.3082275390625,-32.309539794921875,-4.998687744140625
seat,V450,2b,(e) Non-Passivizable,60 people were seated by the bus.,The bus seated 60 people.,-37.3082275390625,-32.309539794921875,-4.998687744140625
weigh,V441,2a,(e) Non-Passivizable,7 pounds was weighed by the baby.,The baby weighed 7 pounds.,-26.609760284423828,-37.443748474121094,10.833988189697266
weigh,V441,2b,(e) Non-Passivizable,7 pounds was weighed by the baby.,The baby weighed 7 pounds.,-26.609760284423828,-37.443748474121094,10.833988189697266
