test,accuracy
wh_questions_object_gap,0.689
irregular_plural_subject_verb_agreement_1,0.889
matrix_question_npi_licensor_present,0.617
existential_there_object_raising,0.729
wh_vs_that_no_gap_long_distance,0.974
wh_questions_subject_gap,0.897
animate_subject_passive,0.753
ellipsis_n_bar_1,0.767
determiner_noun_agreement_with_adj_irregular_2,0.862
regular_plural_subject_verb_agreement_2,0.914
anaphor_gender_agreement,0.894
principle_A_domain_3,0.531
passive_2,0.861
left_branch_island_simple_question,0.515
superlative_quantifiers_2,0.706
coordinate_structure_constraint_object_extraction,0.8
principle_A_c_command,0.627
sentential_negation_npi_licensor_present,0.979
sentential_negation_npi_scope,0.699
determiner_noun_agreement_irregular_1,0.855
determiner_noun_agreement_2,0.952
principle_A_case_2,0.926
wh_vs_that_with_gap,0.512
anaphor_number_agreement,0.975
principle_A_domain_1,0.96
tough_vs_raising_1,0.576
npi_present_2,0.642
irregular_past_participle_verbs,0.809
complex_NP_island,0.57
regular_plural_subject_verb_agreement_1,0.886
only_npi_scope,0.604
wh_island,0.825
wh_vs_that_no_gap,0.964
left_branch_island_echo_question,0.369
determiner_noun_agreement_1,0.966
irregular_past_participle_adjectives,0.922
principle_A_case_1,1.0
wh_vs_that_with_gap_long_distance,0.303
determiner_noun_agreement_with_adjective_1,0.922
transitive,0.848
ellipsis_n_bar_2,0.761
inchoative,0.652
existential_there_subject_raising,0.861
tough_vs_raising_2,0.91
drop_argument,0.788
animate_subject_trans,0.79
existential_there_quantifiers_2,0.402
wh_questions_subject_gap_long_distance,0.82
determiner_noun_agreement_irregular_2,0.932
existential_there_quantifiers_1,0.954
npi_present_1,0.652
irregular_plural_subject_verb_agreement_2,0.893
intransitive,0.757
coordinate_structure_constraint_complex_left_branch,0.404
expletive_it_object_raising,0.755
principle_A_domain_2,0.86
only_npi_licensor_present,0.859
superlative_quantifiers_1,0.733
causative,0.689
determiner_noun_agreement_with_adj_2,0.91
distractor_agreement_relative_clause,0.684
passive_1,0.842
distractor_agreement_relational_noun,0.842
adjunct_island,0.822
principle_A_reconstruction,0.314
determiner_noun_agreement_with_adj_irregular_1,0.81
sentential_subject_island,0.426
