test,accuracy
wh_questions_object_gap,0.724
irregular_plural_subject_verb_agreement_1,0.86
matrix_question_npi_licensor_present,0.641
existential_there_object_raising,0.771
wh_vs_that_no_gap_long_distance,0.962
wh_questions_subject_gap,0.892
animate_subject_passive,0.759
ellipsis_n_bar_1,0.767
determiner_noun_agreement_with_adj_irregular_2,0.881
regular_plural_subject_verb_agreement_2,0.919
anaphor_gender_agreement,0.87
principle_A_domain_3,0.539
passive_2,0.877
left_branch_island_simple_question,0.481
superlative_quantifiers_2,0.692
coordinate_structure_constraint_object_extraction,0.805
principle_A_c_command,0.619
sentential_negation_npi_licensor_present,0.982
sentential_negation_npi_scope,0.67
determiner_noun_agreement_irregular_1,0.874
determiner_noun_agreement_2,0.957
principle_A_case_2,0.923
wh_vs_that_with_gap,0.504
anaphor_number_agreement,0.984
principle_A_domain_1,0.947
tough_vs_raising_1,0.62
npi_present_2,0.61
irregular_past_participle_verbs,0.821
complex_NP_island,0.576
regular_plural_subject_verb_agreement_1,0.841
only_npi_scope,0.732
wh_island,0.809
wh_vs_that_no_gap,0.952
left_branch_island_echo_question,0.413
determiner_noun_agreement_1,0.964
irregular_past_participle_adjectives,0.941
principle_A_case_1,1.0
wh_vs_that_with_gap_long_distance,0.266
determiner_noun_agreement_with_adjective_1,0.912
transitive,0.845
ellipsis_n_bar_2,0.776
inchoative,0.655
existential_there_subject_raising,0.86
tough_vs_raising_2,0.892
drop_argument,0.761
animate_subject_trans,0.778
existential_there_quantifiers_2,0.459
wh_questions_subject_gap_long_distance,0.845
determiner_noun_agreement_irregular_2,0.944
existential_there_quantifiers_1,0.957
npi_present_1,0.63
irregular_plural_subject_verb_agreement_2,0.901
intransitive,0.745
coordinate_structure_constraint_complex_left_branch,0.404
expletive_it_object_raising,0.76
principle_A_domain_2,0.842
only_npi_licensor_present,0.952
superlative_quantifiers_1,0.785
causative,0.696
determiner_noun_agreement_with_adj_2,0.899
distractor_agreement_relative_clause,0.696
passive_1,0.836
distractor_agreement_relational_noun,0.867
adjunct_island,0.825
principle_A_reconstruction,0.491
determiner_noun_agreement_with_adj_irregular_1,0.853
sentential_subject_island,0.459
