frame_no,group,set,active,passive,verb,verb_class,subject,object,is_passivizable,active_score,passive_score,pass_drop
1,A,1,Your investment benefited the community.,The community was benefited by your investment.,benefited,Advantage,donation,communities,0,-31.506610870361328,-40.09130096435547,8.58469009399414
1,A,2,Your investment profited the community.,The community was profited by your investment.,profited,Advantage,donation,communities,0,-36.23527908325195,-43.845787048339844,7.610507965087891
2,A,1,The exercise helped his fitness.,His fitness was helped by the exercise.,helped,Advantage,exercise,fitness,1,-34.20689010620117,-36.76200866699219,2.5551185607910156
2,A,2,The exercise strengthened his fitness.,His fitness was strengthened by the exercise.,strengthened,Advantage,exercise,fitness,1,-34.55910873413086,-38.6389274597168,4.0798187255859375
3,A,1,Our friendship benefited my life.,My life was benefited by our friendship.,benefited,Advantage,friendship,life,0,-29.049144744873047,-31.710918426513672,2.661773681640625
3,A,2,Our friendship profited my life.,My life was profited by our friendship.,profited,Advantage,friendship,life,0,-35.935691833496094,-36.81062316894531,0.8749313354492188
4,A,1,The law helped these workers.,These workers were helped by the law.,helped,Advantage,law,workers,1,-34.17533493041992,-30.720123291015625,-3.455211639404297
4,A,2,The law strengthened these workers.,These workers were strengthened by the law.,strengthened,Advantage,law,workers,1,-36.93568801879883,-34.34938049316406,-2.5863075256347656
5,A,1,The treaty benefited both countries.,Both countries were benefited by the treaty.,benefited,Advantage,treaty,countries,0,-30.62733268737793,-31.858501434326172,1.2311687469482422
5,A,2,The treaty strengthened both countries.,Both countries were strengthened by the treaty.,strengthened,Advantage,treaty,countries,1,-36.92764663696289,-30.123661041259766,-6.803985595703125
6,A,1,Your dish cost ninety dollars.,Ninety dollars was cost by your dish.,cost,Price,dish,dollars,0,-39.34096908569336,-50.795806884765625,11.454837799072266
6,A,2,Your dish fetched ninety dollars.,Ninety dollars was fetched by your dish.,fetched,Price,dish,dollars,1,-49.74176788330078,-54.288944244384766,4.547176361083984
7,A,1,The painting earned a fortune.,A fortune was earned by the painting.,earned,Price,painting,fortune,1,-33.20688247680664,-36.81803894042969,3.611156463623047
8,A,2,The tickets cost a lot of money.,A lot of money was cost by the tickets.,cost,Price,initiative,money,0,-25.183332443237305,-39.60232925415039,14.418996810913086
8,A,1,The tickets fetched a lot of money.,A lot of money was fetched by the tickets.,fetched,Price,initiative,money,1,-32.21143341064453,-41.924530029296875,9.713096618652344
9,A,2,Your book earned thirty dollars.,Thirty dollars was earned by your book.,earned,Price,book,dollars,1,-33.32579040527344,-37.317543029785156,3.9917526245117188
10,A,1,His actions cost the medal.,The medal was cost by his actions.,cost,Price,actions,medal,0,-29.625301361083984,-43.15667724609375,13.531375885009766
10,A,2,His actions fetched the medal.,The medal was fetched by his actions.,fetched,Price,actions,medal,1,-35.165931701660156,-44.79936218261719,9.633430480957031
11,A,1,My friend emanated confidence.,Confidence was emanated by my friend.,emanated,Ooze,friend,confidence,0,-36.36555099487305,-38.65583801269531,2.2902870178222656
11,A,2,My friend radiated confidence.,Confidence was radiated by my friend.,radiated,Ooze,friend,confidence,0,-27.990489959716797,-38.108734130859375,10.118244171142578
12,A,1,The lightbulb discharged some light.,Some light was discharged by the lightbulb.,discharged,Ooze,lightbulb,light,1,-44.09560775756836,-48.4799919128418,4.3843841552734375
12,A,2,The lightbulb emitted some light.,Some light was emitted by the lightbulb.,emitted,Ooze,lightbulb,light,1,-35.680572509765625,-42.60324478149414,6.922672271728516
13,A,1,That machine emanated a sound.,A sound was emanated by that machine.,emanated,Ooze,machine,sound,0,-39.12702560424805,-41.09225082397461,1.9652252197265625
13,A,2,That machine radiated a sound.,A sound was radiated by that machine.,radiated,Ooze,machine,sound,0,-37.51778030395508,-47.69173049926758,10.1739501953125
14,A,1,The teacher discharged wisdom.,Wisdom was discharged by the teacher.,discharged,Ooze,teacher,wisdom,1,-37.94436264038086,-46.75501251220703,8.810649871826172
14,A,2,The teacher emitted wisdom.,Wisdom was emitted by the teacher.,emitted,Ooze,teacher,wisdom,1,-36.1063232421875,-41.401058197021484,5.294734954833984
15,A,1,The trash emanated an odor.,An odor was emanated by the trash.,emanated,Ooze,trash,odor,0,-47.48814392089844,-39.671138763427734,-7.817005157470703
15,A,2,The trash emitted an odor.,An odor was emitted by the trash.,emitted,Ooze,trash,odor,1,-40.911415100097656,-36.478878021240234,-4.432537078857422
16,A,1,Your drawing approximated her likeness.,Her likeness was approximated by the drawing.,approximated,Estimation,drawing,likeness,1,-45.53350830078125,-41.411956787109375,-4.121551513671875
16,A,2,Your drawing mirrored her likeness.,Her likeness was mirrored by the drawing.,mirrored,Estimation,drawing,likeness,1,-43.26560974121094,-38.89535140991211,-4.370258331298828
17,A,1,Your friend matched my brother.,My brother was matched by your friend.,matched,Estimation,friend,brother,1,-31.285219192504883,-31.91794204711914,0.6327228546142578
17,A,2,Your friend resembled my brother.,My brother was resembled by your friend.,resembled,Estimation,friend,brother,0,-32.081642150878906,-37.94635009765625,5.864707946777344
18,A,1,The character approximated the author.,The author was approximated by the character.,approximated,Estimation,author,character,1,-41.400474548339844,-42.67362594604492,1.2731513977050781
18,A,2,The character mirrored the author.,The author was mirrored by the character.,mirrored,Estimation,author,character,1,-33.73601150512695,-38.501895904541016,4.7658843994140625
19,A,1,Her son matched her father.,Her father was matched by her son.,matched,Estimation,son,father,1,-26.10243034362793,-25.285358428955078,-0.8170719146728516
19,A,2,Her son resembled her father.,Her father was resembled by her son.,resembled,Estimation,son,father,0,-25.784690856933594,-31.26580810546875,5.481117248535156
20,A,1,The copy approximated the original.,The original was approximated by the copy.,approximated,Estimation,copy,original,1,-36.405433654785156,-42.62471389770508,6.219280242919922
20,A,2,The copy resembled the original.,The original was resembled by the copy.,resembled,Estimation,copy,original,0,-26.575862884521484,-41.518524169921875,14.94266128540039
21,A,1,The journey required three days.,Three days were required by the journey.,required,Duration,journey,days,1,-27.784570693969727,-35.194122314453125,7.409551620483398
22,A,2,My meeting lasted two hours.,Two hours was lasted by my meeting.,lasted,Duration,meeting,hours,0,-21.616195678710938,-44.17562484741211,22.559429168701172
22,A,1,My meeting took two hours.,Two hours was taken by my meeting.,took,Duration,meeting,hours,0,-24.218860626220703,-37.5137939453125,13.294933319091797
23,A,2,The interview required some time.,Some time was required by the interview.,required,Duration,interview,time,1,-30.877330780029297,-35.241371154785156,4.364040374755859
24,A,1,Her speech lasted seventeen minutes.,Seventeen minutes was lasted by her speech.,lasted,Duration,speech,minutes,0,-22.445653915405273,-49.89368438720703,27.448030471801758
24,A,2,Her speech took seventeen minutes.,Seventeen minutes was taken by her speech.,took,Duration,speech,minutes,0,-29.422592163085938,-40.15302658081055,10.73043441772461
25,A,1,His trek required a month.,A month was required by his trek.,required,Duration,trek,month,1,-37.81792449951172,-47.93756103515625,10.119636535644531
26,A,2,My brother hit your friend.,your friend was hit by my brother.,hit,Agent-patient,my brother,your friend,1,-29.869863510131836,-30.937076568603516,1.0672130584716797
26,A,1,Your sister hit the target.,The target was hit by your sister.,hit,Agent-patient,your sister,the target,1,-26.263652801513672,-39.64705276489258,13.383399963378906
26,A,2,The child hit the ball.,The ball was hit by the child.,hit,Agent-patient,the child,the ball,1,-28.201480865478516,-31.08333969116211,2.8818588256835938
27,A,1,My brother pushed a child.,A child was pushed by my brother.,pushed,Agent-patient,my brother,a child,1,-27.23027801513672,-35.001373291015625,7.771095275878906
