frame_no,group,set,active,passive,verb,verb_class,subject,object,is_passivizable,active_score,passive_score,pass_drop
1,A,1,Your investment benefited the community.,The community was benefited by your investment.,benefited,Advantage,donation,communities,0,-31.898639678955078,-40.09046936035156,8.191829681396484
1,A,2,Your investment profited the community.,The community was profited by your investment.,profited,Advantage,donation,communities,0,-34.68747329711914,-41.55693435668945,6.8694610595703125
2,A,1,The exercise helped his fitness.,His fitness was helped by the exercise.,helped,Advantage,exercise,fitness,1,-33.03940963745117,-34.843692779541016,1.8042831420898438
2,A,2,The exercise strengthened his fitness.,His fitness was strengthened by the exercise.,strengthened,Advantage,exercise,fitness,1,-34.80119705200195,-36.44012451171875,1.6389274597167969
3,A,1,Our friendship benefited my life.,My life was benefited by our friendship.,benefited,Advantage,friendship,life,0,-26.624256134033203,-34.69154357910156,8.06728744506836
3,A,2,Our friendship profited my life.,My life was profited by our friendship.,profited,Advantage,friendship,life,0,-34.83252716064453,-38.6853141784668,3.8527870178222656
4,A,1,The law helped these workers.,These workers were helped by the law.,helped,Advantage,law,workers,1,-34.27879333496094,-30.027772903442383,-4.251020431518555
4,A,2,The law strengthened these workers.,These workers were strengthened by the law.,strengthened,Advantage,law,workers,1,-38.845848083496094,-34.65776062011719,-4.188087463378906
5,A,1,The treaty benefited both countries.,Both countries were benefited by the treaty.,benefited,Advantage,treaty,countries,0,-28.653329849243164,-31.006370544433594,2.3530406951904297
5,A,2,The treaty strengthened both countries.,Both countries were strengthened by the treaty.,strengthened,Advantage,treaty,countries,1,-34.763343811035156,-28.127037048339844,-6.6363067626953125
6,A,1,Your dish cost ninety dollars.,Ninety dollars was cost by your dish.,cost,Price,dish,dollars,0,-41.895938873291016,-55.437034606933594,13.541095733642578
6,A,2,Your dish fetched ninety dollars.,Ninety dollars was fetched by your dish.,fetched,Price,dish,dollars,1,-52.15342712402344,-57.835121154785156,5.681694030761719
7,A,1,The painting earned a fortune.,A fortune was earned by the painting.,earned,Price,painting,fortune,1,-33.599952697753906,-32.849151611328125,-0.7508010864257812
8,A,2,The tickets cost a lot of money.,A lot of money was cost by the tickets.,cost,Price,initiative,money,0,-27.05797576904297,-43.559242248535156,16.501266479492188
8,A,1,The tickets fetched a lot of money.,A lot of money was fetched by the tickets.,fetched,Price,initiative,money,1,-36.476253509521484,-41.7065315246582,5.230278015136719
9,A,2,Your book earned thirty dollars.,Thirty dollars was earned by your book.,earned,Price,book,dollars,1,-31.59157943725586,-37.477073669433594,5.885494232177734
10,A,1,His actions cost the medal.,The medal was cost by his actions.,cost,Price,actions,medal,0,-31.54766845703125,-47.17876434326172,15.631095886230469
10,A,2,His actions fetched the medal.,The medal was fetched by his actions.,fetched,Price,actions,medal,1,-36.83489227294922,-43.9636116027832,7.128719329833984
11,A,1,My friend emanated confidence.,Confidence was emanated by my friend.,emanated,Ooze,friend,confidence,0,-36.837608337402344,-36.366188049316406,-0.4714202880859375
11,A,2,My friend radiated confidence.,Confidence was radiated by my friend.,radiated,Ooze,friend,confidence,0,-27.119426727294922,-35.495689392089844,8.376262664794922
12,A,1,The lightbulb discharged some light.,Some light was discharged by the lightbulb.,discharged,Ooze,lightbulb,light,1,-37.96040344238281,-46.42240905761719,8.462005615234375
12,A,2,The lightbulb emitted some light.,Some light was emitted by the lightbulb.,emitted,Ooze,lightbulb,light,1,-35.915443420410156,-35.760536193847656,-0.1549072265625
13,A,1,That machine emanated a sound.,A sound was emanated by that machine.,emanated,Ooze,machine,sound,0,-40.5616455078125,-45.8387451171875,5.277099609375
13,A,2,That machine radiated a sound.,A sound was radiated by that machine.,radiated,Ooze,machine,sound,0,-36.625465393066406,-41.23965835571289,4.614192962646484
14,A,1,The teacher discharged wisdom.,Wisdom was discharged by the teacher.,discharged,Ooze,teacher,wisdom,1,-39.378055572509766,-48.12821578979492,8.750160217285156
14,A,2,The teacher emitted wisdom.,Wisdom was emitted by the teacher.,emitted,Ooze,teacher,wisdom,1,-35.827362060546875,-49.258094787597656,13.430732727050781
15,A,1,The trash emanated an odor.,An odor was emanated by the trash.,emanated,Ooze,trash,odor,0,-42.30077362060547,-44.086769104003906,1.7859954833984375
15,A,2,The trash emitted an odor.,An odor was emitted by the trash.,emitted,Ooze,trash,odor,1,-40.95325469970703,-35.36659240722656,-5.586662292480469
16,A,1,Your drawing approximated her likeness.,Her likeness was approximated by the drawing.,approximated,Estimation,drawing,likeness,1,-45.110572814941406,-40.72196578979492,-4.388607025146484
16,A,2,Your drawing mirrored her likeness.,Her likeness was mirrored by the drawing.,mirrored,Estimation,drawing,likeness,1,-46.04618835449219,-37.544776916503906,-8.501411437988281
17,A,1,Your friend matched my brother.,My brother was matched by your friend.,matched,Estimation,friend,brother,1,-28.795700073242188,-35.34077453613281,6.545074462890625
17,A,2,Your friend resembled my brother.,My brother was resembled by your friend.,resembled,Estimation,friend,brother,0,-27.143552780151367,-39.490623474121094,12.347070693969727
18,A,1,The character approximated the author.,The author was approximated by the character.,approximated,Estimation,author,character,1,-42.341461181640625,-44.7756233215332,2.434162139892578
18,A,2,The character mirrored the author.,The author was mirrored by the character.,mirrored,Estimation,author,character,1,-36.127254486083984,-38.881622314453125,2.7543678283691406
19,A,1,Her son matched her father.,Her father was matched by her son.,matched,Estimation,son,father,1,-26.335845947265625,-29.29059600830078,2.9547500610351562
19,A,2,Her son resembled her father.,Her father was resembled by her son.,resembled,Estimation,son,father,0,-25.128456115722656,-33.343048095703125,8.214591979980469
20,A,1,The copy approximated the original.,The original was approximated by the copy.,approximated,Estimation,copy,original,1,-38.35194396972656,-41.36289978027344,3.010955810546875
20,A,2,The copy resembled the original.,The original was resembled by the copy.,resembled,Estimation,copy,original,0,-29.947744369506836,-42.919315338134766,12.97157096862793
21,A,1,The journey required three days.,Three days were required by the journey.,required,Duration,journey,days,1,-26.544544219970703,-37.09634017944336,10.551795959472656
22,A,2,My meeting lasted two hours.,Two hours was lasted by my meeting.,lasted,Duration,meeting,hours,0,-23.770809173583984,-49.77788162231445,26.00707244873047
22,A,1,My meeting took two hours.,Two hours was taken by my meeting.,took,Duration,meeting,hours,0,-25.868867874145508,-42.25490951538086,16.38604164123535
23,A,2,The interview required some time.,Some time was required by the interview.,required,Duration,interview,time,1,-29.082229614257812,-35.009063720703125,5.9268341064453125
24,A,1,Her speech lasted seventeen minutes.,Seventeen minutes was lasted by her speech.,lasted,Duration,speech,minutes,0,-24.435794830322266,-53.53628921508789,29.100494384765625
24,A,2,Her speech took seventeen minutes.,Seventeen minutes was taken by her speech.,took,Duration,speech,minutes,0,-30.526630401611328,-47.642730712890625,17.116100311279297
25,A,1,His trek required a month.,A month was required by his trek.,required,Duration,trek,month,1,-33.16335678100586,-51.69800567626953,18.534648895263672
26,A,2,My brother hit your friend.,your friend was hit by my brother.,hit,Agent-patient,my brother,your friend,1,-27.869903564453125,-34.29168701171875,6.421783447265625
26,A,1,Your sister hit the target.,The target was hit by your sister.,hit,Agent-patient,your sister,the target,1,-22.50760269165039,-40.74114227294922,18.233539581298828
26,A,2,The child hit the ball.,The ball was hit by the child.,hit,Agent-patient,the child,the ball,1,-25.52771759033203,-28.863222122192383,3.3355045318603516
27,A,1,My brother pushed a child.,A child was pushed by my brother.,pushed,Agent-patient,my brother,a child,1,-28.437931060791016,-34.035972595214844,5.598041534423828
27,A,2,The mother pushed my toy.,My toy was pushed by the mother.,pushed,Agent-patient,the mother,my toy,1,-37.22337341308594,-34.89543914794922,-2.3279342651367188
28,A,1,A boy washed the cup.,The cup was washed by a boy.,washed,Agent-patient,a boy,the cup,1,-34.50782012939453,-36.308589935302734,1.8007698059082031
28,A,2,A child washed the bag.,The bag was washed by a child.,washed,Agent-patient,a child,the bag,1,-36.716346740722656,-34.12828063964844,-2.5880661010742188
28,A,1,My sister washed a towel.,A towel was washed by my sister.,washed,Agent-patient,my sister,a towel,1,-34.801578521728516,-37.5237922668457,2.7222137451171875
29,A,2,My brother dropped my plate.,My plate was dropped by my brother.,dropped,Agent-patient,my brother,my plate,1,-27.85759925842285,-33.30854797363281,5.450948715209961
29,A,1,The mother dropped my toy.,My toy was dropped by the mother.,dropped,Agent-patient,the mother,my toy,1,-34.507415771484375,-35.24128723144531,0.7338714599609375
30,A,2,A boy carried my bag.,My bag was carried by a boy.,carried,Agent-patient,a boy,my bag,1,-31.867233276367188,-30.18906593322754,-1.6781673431396484
30,A,1,Your mother carried the child.,The child was carried by your mother.,carried,Agent-patient,your mother,the child,1,-23.808101654052734,-35.756797790527344,11.94869613647461
31,A,2,My brother saw your friend.,Your friend was seen by my brother.,saw,Experiencer-theme,my brother,your friend,1,-24.79712677001953,-30.29513168334961,5.498004913330078
31,A,1,Your dog saw the toy.,The toy was seen by your dog.,saw,Experiencer-theme,your dog,the toy,1,-27.838951110839844,-42.9711799621582,15.13222885131836
31,A,2,Your sister saw a book.,A book was seen by your sister.,saw,Experiencer-theme,your sister,a book,1,-26.631649017333984,-39.416622161865234,12.78497314453125
32,A,1,A boy heard the sound.,The sound was heard by a boy.,heard,Experiencer-theme,a boy,the sound,1,-24.584232330322266,-28.53193473815918,3.947702407836914
