test,accuracy
adjunct_island,0.78
anaphor_gender_agreement,0.813
anaphor_number_agreement,0.985
animate_subject_passive,0.756
animate_subject_trans,0.797
causative,0.699
complex_NP_island,0.571
coordinate_structure_constraint_complex_left_branch,0.29
coordinate_structure_constraint_object_extraction,0.808
determiner_noun_agreement_1,0.975
determiner_noun_agreement_2,0.961
determiner_noun_agreement_irregular_1,0.875
determiner_noun_agreement_irregular_2,0.921
determiner_noun_agreement_with_adj_2,0.901
determiner_noun_agreement_with_adj_irregular_1,0.84
determiner_noun_agreement_with_adj_irregular_2,0.876
determiner_noun_agreement_with_adjective_1,0.918
distractor_agreement_relational_noun,0.861
distractor_agreement_relative_clause,0.716
drop_argument,0.787
ellipsis_n_bar_1,0.76
ellipsis_n_bar_2,0.824
existential_there_object_raising,0.753
existential_there_quantifiers_1,0.974
existential_there_quantifiers_2,0.496
existential_there_subject_raising,0.846
expletive_it_object_raising,0.77
inchoative,0.621
intransitive,0.745
irregular_past_participle_adjectives,0.821
irregular_past_participle_verbs,0.904
irregular_plural_subject_verb_agreement_1,0.867
irregular_plural_subject_verb_agreement_2,0.891
left_branch_island_echo_question,0.43
left_branch_island_simple_question,0.388
matrix_question_npi_licensor_present,0.559
npi_present_1,0.571
npi_present_2,0.606
only_npi_licensor_present,0.805
only_npi_scope,0.68
passive_1,0.848
passive_2,0.876
principle_A_c_command,0.639
principle_A_case_1,1.0
principle_A_case_2,0.943
principle_A_domain_1,0.988
principle_A_domain_2,0.897
principle_A_domain_3,0.552
principle_A_reconstruction,0.337
regular_plural_subject_verb_agreement_1,0.876
regular_plural_subject_verb_agreement_2,0.923
sentential_negation_npi_licensor_present,0.969
sentential_negation_npi_scope,0.59
sentential_subject_island,0.336
superlative_quantifiers_1,0.733
superlative_quantifiers_2,0.693
tough_vs_raising_1,0.612
tough_vs_raising_2,0.883
transitive,0.855
wh_island,0.832
wh_questions_object_gap,0.765
wh_questions_subject_gap,0.949
wh_questions_subject_gap_long_distance,0.886
wh_vs_that_no_gap,0.99
wh_vs_that_no_gap_long_distance,0.977
wh_vs_that_with_gap,0.525
wh_vs_that_with_gap_long_distance,0.247
