test,accuracy
adjunct_island,0.82
anaphor_gender_agreement,0.859
anaphor_number_agreement,0.989
animate_subject_passive,0.76
animate_subject_trans,0.809
causative,0.713
complex_NP_island,0.555
coordinate_structure_constraint_complex_left_branch,0.36
coordinate_structure_constraint_object_extraction,0.795
determiner_noun_agreement_1,0.975
determiner_noun_agreement_2,0.959
determiner_noun_agreement_irregular_1,0.881
determiner_noun_agreement_irregular_2,0.932
determiner_noun_agreement_with_adj_2,0.922
determiner_noun_agreement_with_adj_irregular_1,0.877
determiner_noun_agreement_with_adj_irregular_2,0.897
determiner_noun_agreement_with_adjective_1,0.924
distractor_agreement_relational_noun,0.889
distractor_agreement_relative_clause,0.708
drop_argument,0.764
ellipsis_n_bar_1,0.757
ellipsis_n_bar_2,0.783
existential_there_object_raising,0.737
existential_there_quantifiers_1,0.96
existential_there_quantifiers_2,0.491
existential_there_subject_raising,0.86
expletive_it_object_raising,0.76
inchoative,0.621
intransitive,0.735
irregular_past_participle_adjectives,0.912
irregular_past_participle_verbs,0.849
irregular_plural_subject_verb_agreement_1,0.864
irregular_plural_subject_verb_agreement_2,0.92
left_branch_island_echo_question,0.301
left_branch_island_simple_question,0.439
matrix_question_npi_licensor_present,0.658
npi_present_1,0.53
npi_present_2,0.613
only_npi_licensor_present,0.835
only_npi_scope,0.611
passive_1,0.862
passive_2,0.905
principle_A_c_command,0.656
principle_A_case_1,1.0
principle_A_case_2,0.936
principle_A_domain_1,0.977
principle_A_domain_2,0.892
principle_A_domain_3,0.535
principle_A_reconstruction,0.42
regular_plural_subject_verb_agreement_1,0.901
regular_plural_subject_verb_agreement_2,0.897
sentential_negation_npi_licensor_present,0.986
sentential_negation_npi_scope,0.712
sentential_subject_island,0.402
superlative_quantifiers_1,0.69
superlative_quantifiers_2,0.623
tough_vs_raising_1,0.569
tough_vs_raising_2,0.887
transitive,0.832
wh_island,0.715
wh_questions_object_gap,0.756
wh_questions_subject_gap,0.912
wh_questions_subject_gap_long_distance,0.859
wh_vs_that_no_gap,0.956
wh_vs_that_no_gap_long_distance,0.964
wh_vs_that_with_gap,0.548
wh_vs_that_with_gap_long_distance,0.262
