test,accuracy
adjunct_island,0.83
anaphor_gender_agreement,0.878
anaphor_number_agreement,0.981
animate_subject_passive,0.75
animate_subject_trans,0.814
causative,0.694
complex_NP_island,0.547
coordinate_structure_constraint_complex_left_branch,0.289
coordinate_structure_constraint_object_extraction,0.806
determiner_noun_agreement_1,0.951
determiner_noun_agreement_2,0.95
determiner_noun_agreement_irregular_1,0.865
determiner_noun_agreement_irregular_2,0.937
determiner_noun_agreement_with_adj_2,0.915
determiner_noun_agreement_with_adj_irregular_1,0.856
determiner_noun_agreement_with_adj_irregular_2,0.89
determiner_noun_agreement_with_adjective_1,0.924
distractor_agreement_relational_noun,0.892
distractor_agreement_relative_clause,0.692
drop_argument,0.775
ellipsis_n_bar_1,0.77
ellipsis_n_bar_2,0.834
existential_there_object_raising,0.767
existential_there_quantifiers_1,0.964
existential_there_quantifiers_2,0.482
existential_there_subject_raising,0.845
expletive_it_object_raising,0.75
inchoative,0.64
intransitive,0.741
irregular_past_participle_adjectives,0.921
irregular_past_participle_verbs,0.812
irregular_plural_subject_verb_agreement_1,0.88
irregular_plural_subject_verb_agreement_2,0.894
left_branch_island_echo_question,0.341
left_branch_island_simple_question,0.357
matrix_question_npi_licensor_present,0.597
npi_present_1,0.681
npi_present_2,0.653
only_npi_licensor_present,0.876
only_npi_scope,0.529
passive_1,0.869
passive_2,0.888
principle_A_c_command,0.605
principle_A_case_1,1.0
principle_A_case_2,0.93
principle_A_domain_1,0.964
principle_A_domain_2,0.888
principle_A_domain_3,0.52
principle_A_reconstruction,0.37
regular_plural_subject_verb_agreement_1,0.892
regular_plural_subject_verb_agreement_2,0.938
sentential_negation_npi_licensor_present,0.988
sentential_negation_npi_scope,0.754
sentential_subject_island,0.319
superlative_quantifiers_1,0.688
superlative_quantifiers_2,0.57
tough_vs_raising_1,0.598
tough_vs_raising_2,0.866
transitive,0.866
wh_island,0.786
wh_questions_object_gap,0.721
wh_questions_subject_gap,0.914
wh_questions_subject_gap_long_distance,0.83
wh_vs_that_no_gap,0.978
wh_vs_that_no_gap_long_distance,0.974
wh_vs_that_with_gap,0.598
wh_vs_that_with_gap_long_distance,0.264
