test,accuracy
adjunct_island,0.814
anaphor_gender_agreement,0.895
anaphor_number_agreement,0.988
animate_subject_passive,0.763
animate_subject_trans,0.791
causative,0.668
complex_NP_island,0.548
coordinate_structure_constraint_complex_left_branch,0.337
coordinate_structure_constraint_object_extraction,0.791
determiner_noun_agreement_1,0.969
determiner_noun_agreement_2,0.98
determiner_noun_agreement_irregular_1,0.883
determiner_noun_agreement_irregular_2,0.946
determiner_noun_agreement_with_adj_2,0.928
determiner_noun_agreement_with_adj_irregular_1,0.83
determiner_noun_agreement_with_adj_irregular_2,0.899
determiner_noun_agreement_with_adjective_1,0.93
distractor_agreement_relational_noun,0.856
distractor_agreement_relative_clause,0.68
drop_argument,0.791
ellipsis_n_bar_1,0.745
ellipsis_n_bar_2,0.836
existential_there_object_raising,0.725
existential_there_quantifiers_1,0.972
existential_there_quantifiers_2,0.433
existential_there_subject_raising,0.835
expletive_it_object_raising,0.717
inchoative,0.634
intransitive,0.741
irregular_past_participle_adjectives,0.883
irregular_past_participle_verbs,0.834
irregular_plural_subject_verb_agreement_1,0.886
irregular_plural_subject_verb_agreement_2,0.913
left_branch_island_echo_question,0.421
left_branch_island_simple_question,0.433
matrix_question_npi_licensor_present,0.592
npi_present_1,0.635
npi_present_2,0.579
only_npi_licensor_present,0.954
only_npi_scope,0.631
passive_1,0.854
passive_2,0.873
principle_A_c_command,0.597
principle_A_case_1,1.0
principle_A_case_2,0.942
principle_A_domain_1,0.965
principle_A_domain_2,0.88
principle_A_domain_3,0.54
principle_A_reconstruction,0.286
regular_plural_subject_verb_agreement_1,0.859
regular_plural_subject_verb_agreement_2,0.913
sentential_negation_npi_licensor_present,0.973
sentential_negation_npi_scope,0.683
sentential_subject_island,0.425
superlative_quantifiers_1,0.821
superlative_quantifiers_2,0.597
tough_vs_raising_1,0.588
tough_vs_raising_2,0.908
transitive,0.846
wh_island,0.835
wh_questions_object_gap,0.767
wh_questions_subject_gap,0.911
wh_questions_subject_gap_long_distance,0.88
wh_vs_that_no_gap,0.968
wh_vs_that_no_gap_long_distance,0.982
wh_vs_that_with_gap,0.57
wh_vs_that_with_gap_long_distance,0.266
